Epoch: [2][80/632], 	Time 1.130 (0.318)	Data 1.088 (0.245)	Loss 0.0500 (0.1038)	Precision 0.920 (0.744)	Recall 1.000 (0.816)	mAP 1.000 (0.926)
Epoch: [2][100/632], 	Time 0.070 (0.283)	Data 0.000 (0.209)	Loss 0.0911 (0.1005)	Precision 0.806 (0.740)	Recall 0.917 (0.817)	mAP 0.931 (0.925)
Epoch: [2][120/632], 	Time 0.080 (0.307)	Data 0.000 (0.233)	Loss 0.1580 (0.0999)	Precision 0.607 (0.743)	Recall 0.714 (0.818)	mAP 0.779 (0.925)
Epoch: [2][140/632], 	Time 0.084 (0.282)	Data 0.000 (0.208)	Loss 0.2139 (0.1028)	Precision 0.509 (0.742)	Recall 0.611 (0.819)	mAP 0.775 (0.922)
Epoch: [2][160/632], 	Time 3.690 (0.292)	Data 3.647 (0.218)	Loss 0.0932 (0.1028)	Precision 0.944 (0.745)	Recall 0.944 (0.822)	mAP 1.000 (0.923)
Epoch: [2][180/632], 	Time 0.071 (0.272)	Data 0.000 (0.197)	Loss 0.0996 (0.1015)	Precision 0.643 (0.741)	Recall 0.714 (0.822)	mAP 1.000 (0.926)
Epoch: [2][200/632], 	Time 0.076 (0.273)	Data 0.000 (0.199)	Loss 0.1797 (0.1010)	Precision 0.738 (0.744)	Recall 0.786 (0.825)	mAP 0.979 (0.927)
Epoch: [2][220/632], 	Time 0.076 (0.275)	Data 0.000 (0.200)	Loss 0.1505 (0.1017)	Precision 1.000 (0.746)	Recall 0.722 (0.824)	mAP 0.972 (0.926)
Epoch: [2][240/632], 	Time 2.571 (0.287)	Data 2.527 (0.213)	Loss 0.0959 (0.1027)	Precision 0.917 (0.748)	Recall 0.833 (0.827)	mAP 0.958 (0.926)
Epoch: [2][260/632], 	Time 0.077 (0.281)	Data 0.000 (0.207)	Loss 0.1114 (0.1023)	Precision 0.595 (0.750)	Recall 0.714 (0.829)	mAP 0.905 (0.926)
Epoch: [2][280/632], 	Time 0.081 (0.267)	Data 0.000 (0.192)	Loss 0.0633 (0.1007)	Precision 0.833 (0.753)	Recall 0.778 (0.834)	mAP 1.000 (0.928)
