Epoch: [1][400/632], 	Time 0.091 (0.093)	Data 0.000 (0.002)	Loss 0.3497 (0.1581)	Precision 0.316 (0.510)	Recall 0.286 (0.786)	mAP 0.611 (0.866)
Epoch: [1][420/632], 	Time 0.091 (0.093)	Data 0.000 (0.002)	Loss 0.2068 (0.1577)	Precision 0.287 (0.512)	Recall 0.500 (0.785)	mAP 0.573 (0.867)
Epoch: [1][440/632], 	Time 0.098 (0.093)	Data 0.000 (0.002)	Loss 0.1674 (0.1578)	Precision 0.292 (0.513)	Recall 0.500 (0.785)	mAP 0.917 (0.868)
Epoch: [1][460/632], 	Time 0.090 (0.093)	Data 0.000 (0.002)	Loss 0.1147 (0.1577)	Precision 0.758 (0.515)	Recall 1.000 (0.786)	mAP 0.967 (0.869)
Epoch: [1][480/632], 	Time 0.090 (0.093)	Data 0.000 (0.002)	Loss 0.1512 (0.1575)	Precision 0.310 (0.516)	Recall 0.714 (0.787)	mAP 0.878 (0.870)
Epoch: [1][500/632], 	Time 0.091 (0.093)	Data 0.000 (0.002)	Loss 0.1366 (0.1570)	Precision 0.457 (0.518)	Recall 0.714 (0.786)	mAP 0.881 (0.871)
Epoch: [1][520/632], 	Time 0.091 (0.093)	Data 0.000 (0.002)	Loss 0.1575 (0.1564)	Precision 0.708 (0.522)	Recall 0.750 (0.787)	mAP 0.958 (0.872)
Epoch: [1][540/632], 	Time 0.092 (0.093)	Data 0.000 (0.002)	Loss 0.1704 (0.1559)	Precision 0.611 (0.525)	Recall 0.667 (0.789)	mAP 0.743 (0.873)
Epoch: [1][560/632], 	Time 0.092 (0.092)	Data 0.000 (0.002)	Loss 0.2032 (0.1560)	Precision 0.512 (0.526)	Recall 0.643 (0.787)	mAP 0.761 (0.873)
Epoch: [1][580/632], 	Time 0.093 (0.092)	Data 0.000 (0.002)	Loss 0.1526 (0.1555)	Precision 0.606 (0.527)	Recall 0.833 (0.788)	mAP 0.867 (0.873)
Epoch: [1][600/632], 	Time 0.090 (0.092)	Data 0.000 (0.002)	Loss 0.0872 (0.1553)	Precision 0.654 (0.527)	Recall 1.000 (0.787)	mAP 0.812 (0.873)
