Epoch: [2][120/478], 	Time 0.092 (0.098)	Data 0.000 (0.006)	Loss 0.2166 (0.1866)	Precision 0.180 (0.256)	Recall 0.333 (0.407)	mAP 0.376 (0.692)
Epoch: [2][140/478], 	Time 0.093 (0.097)	Data 0.000 (0.005)	Loss 0.1559 (0.1851)	Precision 0.265 (0.254)	Recall 0.333 (0.405)	mAP 0.507 (0.691)
Epoch: [2][160/478], 	Time 0.094 (0.097)	Data 0.000 (0.004)	Loss 0.2179 (0.1856)	Precision 0.255 (0.253)	Recall 0.500 (0.403)	mAP 0.479 (0.695)
Epoch: [2][180/478], 	Time 0.099 (0.097)	Data 0.000 (0.004)	Loss 0.2116 (0.1847)	Precision 0.128 (0.255)	Recall 0.267 (0.405)	mAP 0.503 (0.697)
Epoch: [2][200/478], 	Time 0.102 (0.097)	Data 0.000 (0.003)	Loss 0.2551 (0.1853)	Precision 0.281 (0.258)	Recall 0.453 (0.408)	mAP 0.536 (0.697)
Epoch: [2][220/478], 	Time 0.094 (0.096)	Data 0.000 (0.003)	Loss 0.1821 (0.1852)	Precision 0.214 (0.259)	Recall 0.333 (0.408)	mAP 0.584 (0.690)
Epoch: [2][240/478], 	Time 0.094 (0.096)	Data 0.000 (0.003)	Loss 0.1874 (0.1848)	Precision 0.293 (0.261)	Recall 0.400 (0.408)	mAP 0.786 (0.686)
Epoch: [2][260/478], 	Time 0.095 (0.096)	Data 0.000 (0.003)	Loss 0.1774 (0.1854)	Precision 0.310 (0.262)	Recall 0.467 (0.407)	mAP 0.734 (0.685)
Epoch: [2][280/478], 	Time 0.093 (0.096)	Data 0.000 (0.002)	Loss 0.1376 (0.1845)	Precision 0.225 (0.261)	Recall 0.267 (0.406)	mAP 0.607 (0.683)
Epoch: [2][300/478], 	Time 0.093 (0.096)	Data 0.000 (0.002)	Loss 0.1565 (0.1837)	Precision 0.314 (0.261)	Recall 0.467 (0.406)	mAP 0.822 (0.685)
Epoch: [2][320/478], 	Time 0.093 (0.095)	Data 0.000 (0.002)	Loss 0.2259 (0.1838)	Precision 0.406 (0.261)	Recall 0.533 (0.407)	mAP 0.766 (0.687)
Epoch: [2][340/478], 	Time 0.093 (0.095)	Data 0.000 (0.002)	Loss 0.2112 (0.1828)	Precision 0.260 (0.262)	Recall 0.400 (0.407)	mAP 0.722 (0.689)
Epoch: [2][360/478], 	Time 0.094 (0.095)	Data 0.000 (0.002)	Loss 0.1123 (0.1817)	Precision 0.283 (0.264)	Recall 0.400 (0.408)	mAP 0.857 (0.689)
Epoch: [2][380/478], 	Time 0.102 (0.095)	Data 0.000 (0.002)	Loss 0.1719 (0.1807)	Precision 0.322 (0.264)	Recall 0.467 (0.409)	mAP 0.608 (0.690)
Epoch: [2][400/478], 	Time 0.090 (0.095)	Data 0.000 (0.002)	Loss 0.1407 (0.1806)	Precision 0.289 (0.266)	Recall 0.333 (0.409)	mAP 0.667 (0.691)
Epoch: [2][420/478], 	Time 0.094 (0.095)	Data 0.000 (0.002)	Loss 0.1453 (0.1805)	Precision 0.344 (0.268)	Recall 0.533 (0.410)	mAP 0.683 (0.691)
Epoch: [2][440/478], 	Time 0.093 (0.095)	Data 0.000 (0.002)	Loss 0.1452 (0.1801)	Precision 0.314 (0.268)	Recall 0.367 (0.409)	mAP 0.776 (0.689)
Epoch: [2][460/478], 	Time 0.092 (0.095)	Data 0.000 (0.002)	Loss 0.2234 (0.1796)	Precision 0.302 (0.269)	Recall 0.483 (0.409)	mAP 0.700 (0.688)
Test: [0/167]	Time 0.538 (0.538)	Loss 0.2257 (0.2257)
Test: [20/167]	Time 0.029 (0.065)	Loss 0.2156 (0.2146)
Test: [40/167]	Time 0.028 (0.053)	Loss 0.1946 (0.2263)
Test: [60/167]	Time 0.028 (0.048)	Loss 0.1480 (0.2166)
Test: [80/167]	Time 0.028 (0.043)	Loss 0.1228 (0.1916)
Test: [100/167]	Time 0.028 (0.040)	Loss 0.1951 (0.1830)
Test: [120/167]	Time 0.029 (0.039)	Loss 0.1579 (0.1694)
Test: [140/167]	Time 0.028 (0.038)	Loss 0.3330 (0.1677)
Test: [160/167]	Time 0.027 (0.037)	Loss 0.3175 (0.1743)
Testing Results: Best Threshold 0.10, mAP: 0.6410, Loss: 0.17708
Best mAP: 0.641, Best Threshold: 0.10

Epoch: [3][0/478], 	Time 0.952 (0.952)	Data 0.853 (0.853)	Loss 0.1445 (0.1445)	Precision 0.235 (0.235)	Recall 0.400 (0.400)	mAP 0.628 (0.628)
Epoch: [3][20/478], 	Time 0.095 (0.138)	Data 0.000 (0.041)	Loss 0.1508 (0.1761)	Precision 0.250 (0.288)	Recall 0.333 (0.423)	mAP 0.557 (0.653)
Epoch: [3][40/478], 	Time 0.089 (0.117)	Data 0.000 (0.021)	Loss 0.1234 (0.1719)	Precision 0.222 (0.282)	Recall 0.267 (0.420)	mAP 0.667 (0.675)
Epoch: [3][60/478], 	Time 0.093 (0.110)	Data 0.000 (0.014)	Loss 0.1028 (0.1650)	Precision 0.304 (0.283)	Recall 0.533 (0.426)	mAP 0.677 (0.674)
Epoch: [3][80/478], 	Time 0.091 (0.105)	Data 0.000 (0.011)	Loss 0.2012 (0.1644)	Precision 0.183 (0.282)	Recall 0.200 (0.421)	mAP 0.641 (0.680)
Epoch: [3][100/478], 	Time 0.093 (0.103)	Data 0.000 (0.009)	Loss 0.1718 (0.1652)	Precision 0.219 (0.284)	Recall 0.400 (0.420)	mAP 0.770 (0.682)
